Well Name,Depth (m),Quartz,K-Feldspar,Plagioclase,Total Feldspar,Chlorite,IlliteSmectiteMica,Kaolinite,Total Clay,Calcite,Ankerite/Dolomite,Total Carbonate,Pyrite,Organics ,,,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl ,Zr
,,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm
Well 1,3731.75,35.32,0.54,5.42,5.96,2.52,12.52,n/a,15.04,36.00,4.41,40.41,1.71,1.56,,,5.16,37.82,0.29,1.79,0.20,0.37,25.94,0.49,0.94,0.06,1.02,0.08,177.12
Well 1,3750.04,37.73,0.00,5.11,5.11,2.25,12.14,n/a,14.39,35.01,5.01,40.02,1.21,1.54,,,5.25,38.47,0.32,1.77,0.18,0.34,25.05,0.49,0.99,0.07,0.99,0.08,160.21
Well 1,3768.33,39.51,1.95,5.50,7.44,2.55,10.31,n/a,12.86,34.34,2.94,37.28,1.27,1.65,,,3.67,39.52,0.30,1.58,0.17,0.18,24.13,0.50,0.79,0.07,1.04,0.07,175.26
Well 1,3786.62,41.07,2.82,6.41,9.23,2.83,6.68,n/a,9.50,36.36,1.24,37.61,1.10,1.49,,,2.68,37.93,0.27,1.42,0.17,0.07,26.41,0.53,0.64,0.06,0.95,0.11,201.56
Well 1,3795.76,42.06,1.51,6.45,7.96,2.71,7.53,n/a,10.24,35.77,1.32,37.09,0.95,1.69,,,2.40,37.66,0.25,1.38,0.18,0.09,26.83,0.50,0.60,0.06,0.89,0.08,211.53
Well 1,3804.90,43.19,1.64,7.03,8.67,2.18,5.22,n/a,7.39,36.78,1.38,38.15,1.09,1.51,,,2.65,40.91,0.25,1.44,0.17,0.08,26.55,0.53,0.62,0.07,0.95,0.08,215.44
Well 1,3814.05,42.02,1.43,6.74,8.17,2.60,6.52,n/a,9.12,36.91,1.25,38.16,1.03,1.50,,,2.40,40.52,0.26,1.34,0.16,0.06,26.74,0.55,0.57,0.06,0.99,0.10,221.40
Well 1,3823.19,41.60,1.34,7.29,8.63,3.13,13.29,n/a,16.42,26.76,2.72,29.48,1.52,2.34,,,5.80,43.94,0.38,1.93,0.22,0.18,18.94,0.56,1.09,0.10,1.20,0.09,224.43
Well 1,3832.34,41.86,1.18,7.25,8.42,2.94,13.29,n/a,16.23,27.35,2.41,29.75,1.36,2.38,,,5.49,43.49,0.33,1.88,0.17,0.21,19.50,0.60,1.04,0.09,1.20,0.08,249.36
Well 1,3841.48,42.58,0.91,7.33,8.24,2.79,14.58,n/a,17.37,25.09,2.73,27.82,1.51,2.49,,,6.54,46.33,0.35,2.31,0.23,0.26,18.25,0.60,1.17,0.11,1.20,0.05,230.59
Well 1,3850.62,41.10,2.15,4.95,7.10,2.13,14.31,n/a,16.44,26.46,5.70,32.16,1.41,1.79,,,5.52,44.28,0.38,1.76,0.18,0.24,19.15,0.57,1.11,0.10,1.11,0.08,219.54
Well 1,3859.77,42.43,1.03,6.70,7.73,2.81,13.89,n/a,16.70,26.39,3.12,29.51,1.46,2.17,,,5.81,44.40,0.36,1.92,0.18,0.26,19.02,0.55,1.13,0.10,1.06,0.07,221.21
Well 1,3868.91,37.72,2.44,6.04,8.48,3.56,13.43,n/a,16.99,29.96,3.26,33.23,1.59,2.00,,,4.95,42.15,0.32,1.70,0.18,0.25,21.24,0.58,0.97,0.07,1.02,0.09,207.13
Well 1,3878.06,39.82,1.47,5.30,6.77,2.85,12.12,n/a,14.98,30.99,4.27,35.25,1.37,1.81,,,5.12,42.87,0.33,1.77,0.20,0.26,22.48,0.55,1.04,0.08,1.01,0.08,198.92
Well 1,3887.20,39.96,1.32,5.88,7.20,3.03,12.64,n/a,15.67,30.17,3.67,33.84,1.36,1.98,,,5.18,42.97,0.32,1.74,0.18,0.30,21.61,0.56,1.00,0.08,1.03,0.07,207.72
Well 1,3896.34,39.51,1.25,6.46,7.71,3.12,13.30,n/a,16.42,29.15,3.53,32.68,1.61,2.07,,,4.73,41.65,0.28,1.76,0.16,0.21,20.62,0.54,0.98,0.07,1.09,0.11,210.84
Well 1,3905.49,40.39,1.70,6.37,8.07,2.96,12.68,n/a,15.64,28.48,4.53,33.01,1.22,1.68,,,5.20,43.40,0.34,1.73,0.18,0.28,20.99,0.54,1.07,0.07,0.99,0.07,193.44
Well 1,3914.63,39.83,1.56,5.16,6.72,2.85,13.91,n/a,16.76,28.70,4.74,33.44,1.38,1.87,,,5.59,43.22,0.32,1.73,0.18,0.30,20.86,0.55,1.09,0.07,1.09,0.09,206.74
Well 1,3923.78,39.10,1.05,5.60,6.65,3.25,14.44,n/a,17.70,29.73,3.34,33.07,1.38,2.10,,,5.58,43.33,0.33,1.72,0.18,0.30,20.94,0.58,1.10,0.07,1.01,0.06,206.74
Well 1,3932.92,43.09,0.44,5.50,5.94,2.45,12.53,n/a,14.98,28.58,4.63,33.21,1.17,1.61,,,5.57,43.64,0.32,1.84,0.23,0.36,21.04,0.55,1.08,0.07,1.06,0.06,189.05
Well 1,3942.06,42.03,0.41,6.23,6.63,2.56,12.75,n/a,15.31,28.35,4.33,32.68,1.53,1.82,,,5.46,43.65,0.35,1.76,0.20,0.31,21.99,0.59,1.11,0.08,0.97,0.07,199.70
Well 1,3951.21,37.28,2.46,5.22,7.67,3.43,14.43,n/a,17.86,29.58,4.23,33.81,1.47,1.92,,,5.50,42.06,0.36,1.73,0.18,0.37,20.70,0.61,1.08,0.08,1.05,0.09,186.21
Well 1,3960.35,39.11,2.20,5.91,8.11,3.11,13.63,n/a,16.74,28.53,3.99,32.51,1.56,1.96,,,5.31,41.88,0.33,1.82,0.18,0.28,19.70,0.56,1.08,0.07,1.04,0.08,169.11
Well 1,3969.50,40.00,1.65,6.08,7.74,2.90,13.77,n/a,16.67,27.97,4.18,32.15,1.57,1.88,,,5.11,42.31,0.32,1.81,0.18,0.30,19.98,0.56,1.04,0.08,1.02,0.09,174.87
Well 1,3978.64,43.32,0.07,5.49,5.56,2.66,13.10,n/a,15.76,27.93,4.14,32.07,1.43,1.86,,,5.62,41.94,0.33,1.88,0.18,0.27,18.85,0.58,1.08,0.09,0.96,0.06,190.02
Well 1,3987.78,39.68,1.07,5.92,6.99,3.00,15.43,n/a,18.42,26.94,4.21,31.15,1.62,2.14,,,6.03,41.78,0.37,1.91,0.20,0.33,19.54,0.59,1.17,0.11,1.11,0.09,183.28
Well 1,3996.93,42.95,0.02,6.69,6.71,2.45,13.42,n/a,15.87,26.84,4.07,30.91,1.52,2.04,,,6.09,42.53,0.41,1.98,0.19,0.32,19.41,0.61,1.20,0.14,1.20,0.10,189.34
Well 1,4006.07,40.74,0.89,5.89,6.78,2.47,13.63,n/a,16.10,27.07,5.68,32.75,1.72,1.91,,,5.60,42.44,0.37,1.86,0.21,0.35,20.44,0.56,1.09,0.11,1.15,0.09,179.96
Well 1,4015.22,42.33,1.79,7.56,9.34,3.29,11.48,n/a,14.77,25.50,4.63,30.13,1.45,1.98,,,4.88,44.54,0.31,1.78,0.19,0.37,20.26,0.66,0.96,0.09,1.16,0.10,201.26
Well 1,4024.36,42.69,1.83,7.90,9.73,3.30,12.04,n/a,15.34,24.67,3.79,28.46,1.60,2.18,,,4.69,38.93,0.31,1.82,0.18,0.29,17.78,0.54,0.99,0.09,1.01,0.07,216.22
Well 1,4033.50,39.93,1.61,8.06,9.67,3.63,14.22,n/a,17.85,25.44,2.64,28.08,1.64,2.82,,,5.25,42.45,0.32,1.98,0.19,0.33,18.69,0.62,1.06,0.09,1.12,0.06,227.46
Well 1,4042.65,44.08,1.57,7.54,9.12,3.09,10.94,n/a,14.03,24.66,4.92,29.59,1.28,1.91,,,5.49,44.63,0.31,1.88,0.18,0.40,17.87,0.68,1.08,0.11,1.10,0.09,237.73
Well 1,4051.79,47.10,0.66,7.50,8.16,2.49,6.17,n/a,8.67,28.93,4.64,33.57,1.02,1.49,,,3.40,39.59,0.34,1.56,0.20,0.27,21.52,0.56,0.72,0.07,1.04,0.10,231.66
Well 1,4060.94,43.36,2.33,7.62,9.96,3.26,8.87,n/a,12.14,27.38,4.04,31.41,1.37,1.77,,,3.84,38.67,0.35,2.17,0.26,0.27,20.05,0.59,0.79,0.08,0.93,0.08,209.08
Well 1,4070.08,43.64,1.52,7.11,8.63,2.92,11.07,n/a,13.99,25.31,5.36,30.67,1.27,1.80,,,5.06,44.78,0.30,1.90,0.19,0.32,18.25,0.65,1.01,0.10,1.05,0.10,211.53
Well 1,4079.22,41.55,2.02,6.14,8.16,3.23,12.95,n/a,16.18,24.55,5.88,30.43,1.68,2.00,,,5.10,44.10,0.32,1.84,0.19,0.38,17.65,0.68,1.05,0.10,1.14,0.14,230.00
Well 1,4088.37,43.35,0.00,6.35,6.35,2.37,10.92,n/a,13.29,29.28,4.66,33.94,1.43,1.64,,,5.05,42.74,0.34,1.71,0.18,0.25,21.49,0.56,0.96,0.08,1.05,0.07,204.98
Well 1,4097.51,39.64,1.26,5.44,6.70,3.14,13.51,n/a,16.66,29.21,4.42,33.62,1.52,1.86,,,4.99,43.65,0.31,1.76,0.18,0.32,21.70,0.58,1.03,0.09,1.29,0.18,236.36
Well 1,4106.66,42.02,0.07,5.77,5.84,2.60,12.08,n/a,14.67,29.75,4.73,34.48,1.39,1.59,,,9.73,43.74,0.50,3.26,0.26,3.04,11.86,1.01,2.35,0.14,1.54,0.30,286.11
Well 1,4115.80,41.24,0.04,5.83,5.87,2.80,12.73,n/a,15.53,30.18,4.30,34.48,1.30,1.59,,,4.52,45.72,0.32,1.70,0.16,0.29,19.79,0.73,0.97,0.09,1.29,0.12,252.89
Well 1,4124.94,45.23,0.81,6.12,6.94,2.34,8.88,n/a,11.22,28.60,5.36,33.96,1.24,1.41,,,3.49,43.67,0.28,1.59,0.18,0.20,22.03,0.68,0.79,0.06,1.03,0.11,205.50
Well 1,4134.09,44.18,0.80,6.29,7.09,2.39,9.34,n/a,11.73,29.35,4.94,34.29,1.29,1.42,,,9.60,42.78,0.50,3.25,0.27,3.07,11.80,1.05,2.32,0.14,1.28,0.10,215.19
Well 1,4143.23,43.78,1.68,6.31,7.99,2.20,8.01,n/a,10.21,31.05,4.17,35.21,1.25,1.56,,,3.35,42.67,0.28,1.64,0.18,0.20,23.23,0.65,0.75,0.06,0.97,0.09,184.71
Well 1,4152.38,40.64,0.35,4.14,4.49,1.66,4.10,n/a,5.76,44.12,3.35,47.47,0.75,0.89,,,1.77,32.55,0.21,1.23,0.19,0.25,31.07,0.43,0.43,<LOD,0.87,0.11,128.81
Well 1,4161.52,37.69,0.45,3.20,3.66,1.97,5.06,n/a,7.03,45.82,3.73,49.55,1.01,1.06,,,2.04,35.40,0.23,1.22,0.19,0.26,30.53,0.48,0.48,0.00,0.85,0.10,117.58
Well 1,4170.66,40.53,0.00,4.81,4.81,1.75,4.46,n/a,6.20,41.40,5.02,46.42,1.03,1.01,,,1.65,33.19,0.24,1.20,0.19,0.25,31.40,0.40,0.43,<LOD,0.81,0.09,109.55
Well 1,4179.81,41.00,1.56,3.82,5.38,2.25,5.34,n/a,7.59,37.50,6.32,43.82,0.98,1.24,,,1.99,39.26,0.22,1.35,0.18,0.51,26.87,0.58,0.49,0.03,1.06,0.12,156.93
Well 1,4188.95,39.99,1.82,4.61,6.43,2.43,6.03,n/a,8.46,36.56,6.24,42.80,0.98,1.34,,,2.39,37.18,0.24,1.48,0.21,0.49,25.62,0.54,0.54,0.04,0.90,0.12,141.34
Well 1,4198.10,41.69,3.64,5.31,8.95,3.36,8.83,n/a,12.19,27.90,6.44,34.34,1.08,1.75,,,2.60,41.41,0.26,1.61,0.17,0.37,21.50,0.65,0.64,0.06,1.05,0.16,162.13
Well 1,4207.24,39.56,0.06,3.59,3.65,1.78,5.35,n/a,7.13,40.49,6.76,47.25,1.27,1.14,,,2.03,38.28,0.22,1.32,0.18,0.36,26.32,0.55,0.50,0.02,1.04,0.26,136.02
Well 1,4216.38,42.29,2.78,5.18,7.96,3.11,8.36,n/a,11.47,28.44,6.98,35.43,1.21,1.65,,,3.15,44.09,0.27,1.68,0.19,0.40,20.00,0.71,0.74,0.07,1.08,0.18,190.14
Well 1,4225.53,44.56,1.06,6.21,7.28,3.03,8.92,n/a,11.95,26.79,6.40,33.20,1.23,1.78,,,3.16,45.09,0.34,1.67,0.18,0.55,20.03,0.73,0.77,0.09,1.01,0.20,120.30
Well 1,4234.67,41.60,2.82,6.07,8.89,3.41,10.28,n/a,13.69,25.10,7.20,32.30,1.51,2.01,,,9.30,42.72,0.54,3.20,0.27,3.40,11.14,1.10,2.30,0.14,1.45,0.22,133.06
Well 1,4243.82,46.51,0.38,5.78,6.16,2.00,6.81,n/a,8.81,27.21,8.89,36.09,1.16,1.28,,,9.38,41.91,0.50,3.19,0.24,3.52,10.96,1.20,2.30,0.15,1.30,0.21,137.55
